experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency
1,BIOT,AtrialFibrillation,VQ-MTM,UEA,2025-08-26 10:46:50,0.0,0.0,0.0,success,0.0,961.0,0.9384765625,72553870.80569439,0.07255387080569439,1,166.52,166.52,0.0,0.0,0.0,0.0,0.0004357066466832476,808.3215434083602,29.218649517684888,38.61414790996785,311,very_poor,slow,medium,unknown,0.0027030497320471598,0.0
2,Ti_MAE,AtrialFibrillation,VQ-MTM,UEA,2025-08-26 10:46:58,0.4667,0.3627,0.0,success,0.0,2552.0,2.4921875,102028880.82050774,0.10202888082050773,1,7.5,7.92,0.058926767676767675,4.574195034257336,0.18726520376175548,0.0,0.012882434447033806,1491.9333333333334,18.266666666666666,40.333333333333336,15,very_poor,very_fast,high,unknown,8.037333333333333e-05,5806.652289316523
3,SimMTM,AtrialFibrillation,VQ-MTM,UEA,2025-08-26 10:48:22,0.0,0.0,0.0,success,0.0,12734.0,12.435546875,86157721.58176208,0.08615772158176208,1,84.04,84.04,0.0,0.0,0.0,0.0,0.0010251989717011193,12137.707006369426,29.70063694267516,41.394904458598724,157,very_poor,slow,very_high,unknown,0.0013866897381457895,0.0
4,TFC,AtrialFibrillation,MF-CLR,UEA,2025-08-26 10:48:39,0.2667,0.0,0.0,success,0.0,774.0,0.755859375,40811552.32820309,0.04081155232820309,1,16.5,17.02,0.015669800235017628,6.5349143755969115,0.35284341085271315,0.0,0.002397858538672332,730.9032258064516,13.516129032258064,44.38709677419355,31,very_poor,fast,medium,unknown,0.00012780250896057347,2086.813491918815
5,TimeHUT,AtrialFibrillation,TS2vec,UEA,2025-08-26 10:49:01,0.3333,0.0,0.3915,success,0.0,3116.0,3.04296875,34009626.94016924,0.034009626940169235,1,21.0,21.4,0.015574766355140187,9.80016630545085,0.10953119383825417,0.0,0.001589234903746226,2412.487804878049,42.75609756097561,51.24390243902439,41,very_poor,fast,very_high,unknown,0.0005083224932249323,655.6861135250117
6,VQ_MTM,AtrialFibrillation,VQ-MTM,UEA,2025-08-26 10:49:08,0.3333,0.1667,0.0,success,0.0,4269.0,4.1689453125,63484636.95498259,0.06348463695498259,1,6.9,7.35,0.0453469387755102,5.25008909220581,0.07994827828531272,0.0,0.008637365572106476,2456.285714285714,17.428571428571427,52.714285714285715,14,very_poor,very_fast,very_high,unknown,7.116666666666667e-05,4683.372365339578
7,MF_CLR,AtrialFibrillation,MF-CLR,UEA,2025-08-26 10:49:43,0.3333,0.0,0.0,success,0.0,1242.0,1.212890625,29475010.014813345,0.029475010014813344,1,35.1,35.36,0.009425904977375565,11.30788419859713,0.27479806763285025,0.0,0.0008335692877492461,1107.865671641791,11.805970149253731,53.40298507462686,67,very_poor,medium,medium,unknown,0.00023192172470978443,1437.1228069171846
8,DCRNN,AtrialFibrillation,VQ-MTM,UEA,2025-08-26 10:51:07,0.0,0.0,0.0,success,0.0,836.0,0.81640625,49880786.1789149,0.0498807861789149,1,83.65,83.65,0.0,0.0,0.0,0.0,0.0005963034809194847,800.1666666666666,27.294871794871796,50.33974358974359,156,very_poor,slow,medium,unknown,0.0012684533475783475,0.0
9,TS2vec,AtrialFibrillation,TS2vec,UEA,2025-08-26 10:51:21,0.2667,0.0,0.0,success,0.0,1599.0,1.5615234375,27207701.55213539,0.02720770155213539,1,13.0,13.67,0.019509875640087784,9.802371563395369,0.17079474671669792,0.0,0.0019903219862571608,1285.8461538461538,32.84615384615385,51.26923076923077,26,very_poor,fast,high,unknown,0.0002494482905982906,1069.1594613069183
10,CoST,AtrialFibrillation,MF-CLR,UEA,2025-08-26 10:53:50,0.2667,0.0,0.0,success,0.0,819.0,0.7998046875,12800000000.0,12.8,1,148.5,148.82,0.0017920978363123237,0.0208359375,0.33345641025641026,0.0,0.08600994489987905,755.8167938931298,31.69083969465649,47.16030534351145,262,very_poor,slow,medium,unknown,0.002620128201865988,101.78891239370009
11,TS_TCC,AtrialFibrillation,MF-CLR,UEA,2025-08-26 10:53:59,0.2667,0.0,0.0,success,0.0,815.0,0.7958984375,38544243.86552514,0.038544243865525143,1,8.7,8.99,0.029666295884315904,6.919321103573201,0.33509300613496934,0.0,0.004287457604619037,750.0,2.6470588235294117,45.705882352941174,17,very_poor,very_fast,medium,unknown,1.3220588235294117e-05,20173.08120133482
12,TLoss,AtrialFibrillation,MF-CLR,UEA,2025-08-26 10:57:49,0.0,0.0,0.0,timeout,0.0,806.0,0.787109375,0.0,0.0,1,230.36,230.36,0.0,0.0,0.0,0.0,0.0,758.2246376811594,0.42028985507246375,41.893719806763286,414,very_poor,very_slow,medium,unknown,5.378776167471821e-05,0.0
13,TimesURL,AtrialFibrillation,TimesURL,UEA,2025-08-26 11:01:25,0.2,0.0,0.0,success,0.0,2213.0,2.1611328125,63484636.95498259,0.06348463695498259,1,214.8,215.92,0.0009262689885142646,3.1503684921727038,0.09254405784003615,0.0,0.0002940192522924351,1979.1511335012594,5.095717884130982,51.904282115869016,397,very_poor,very_slow,high,unknown,0.000611259669745312,327.1931879348955
14,TNC,AtrialFibrillation,MF-CLR,UEA,2025-08-26 11:02:04,0.4,0.0,0.0,success,0.0,734.0,0.716796875,10240000000.0,10.24,1,38.2,38.49,0.010392309690828787,0.0390625,0.5580381471389646,0.0,0.2660431280852169,713.4444444444445,0.2361111111111111,55.80555555555556,72,very_poor,medium,medium,unknown,5.048842592592593e-06,79226.07858420063
