experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency,config_name,component_category,trial_number,description
1,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.0,0.0,0.0,success,0.005178875923156738,200,0.1953125,31113648249.658363,31.113648249658365,50,0.2589437961578369,0.2589437961578369,0.0,0.0,0.0,0.0,120.15599026243252,140.0,37.1415060350042,48.03070196146593,0,very_poor,very_fast,low,medium,2.8771532906426323e-08,0.0,baseline,baseline,1,"Pure TS2Vec baseline (no AMC, no temperature)"
2,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.0,0.0,0.0,success,0.005132355690002441,200,0.1953125,25168713895.74752,25.16871389574752,50,0.25661778450012207,0.25661778450012207,0.0,0.0,0.0,0.0,98.07860333910547,140.0,24.164219401570257,46.42558263226764,0,very_poor,very_fast,low,medium,2.8513087166680232e-08,0.0,baseline,baseline,2,"Pure TS2Vec baseline (no AMC, no temperature)"
3,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.0,0.0,0.0,success,0.005417742729187012,200,0.1953125,30685145697.574596,30.685145697574598,50,0.2708871364593506,0.2708871364593506,0.0,0.0,0.0,0.0,113.2764962509736,140.0,31.351047306314356,50.41323137196521,0,very_poor,very_fast,low,medium,3.009857071770562e-08,0.0,baseline,baseline,3,"Pure TS2Vec baseline (no AMC, no temperature)"
4,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.17869703769683837,977.7320819839592,0.9548164863124602,57705212862.24031,57.70521286224031,50,8.934851884841919,8.934851884841919,0.1089889359724097,0.016875425142694706,1.0198818453175802,5.449446798620485,6.458440901537258,684.4124573887714,21.610177804617575,55.741069276259836,13,excellent,very_fast,low,high,4.853272964213773e-06,200648.1001955667,instance_only,single_component,1,Only instance-wise AMC contrastive loss
5,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.16815670490264892,920.7311052063594,0.8991514699280854,57540145647.090805,57.5401456470908,50,8.407835245132446,8.407835245132446,0.11582053782080978,0.016923836202511155,1.0830210843984776,5.79102689104049,6.843633821250548,644.5117736444515,24.300042739351795,45.88364305888968,12,excellent,very_fast,low,high,4.300753020913211e-06,226425.46439302992,instance_only,single_component,2,Only instance-wise AMC contrastive loss
6,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.1698531675338745,1026.4377773187741,1.0023806419128654,48980821796.6259,48.980821796625904,50,8.492658376693726,8.492658376693726,0.11466374329531312,0.019881250748371094,0.9714872367663403,5.733187164765656,5.76743107094043,718.5064441231418,45.539700843868495,50.552471452213425,12,excellent,very_fast,medium,medium,4.8428807709450975e-06,201078.66496369703,instance_only,single_component,3,Only instance-wise AMC contrastive loss
7,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.16852144718170167,897.9506977580306,0.8769049782793268,53440876948.279785,53.44087694827979,50,8.426072359085083,8.426072359085083,0.11556985965709614,0.018222006366820028,1.1104966035325763,5.778492982854806,6.342323525225754,628.5654884306214,30.093211519139608,63.82641459018001,12,excellent,very_fast,low,high,4.203443085666725e-06,231667.22616527154,temporal_only,single_component,1,Only temporal AMC contrastive loss
8,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.17394542217254638,1016.2904703296206,0.9924711624312701,53708460779.20186,53.70846077920186,50,8.69727110862732,8.69727110862732,0.11196615442216493,0.018131221522123674,0.9811871990461354,5.598307721108246,6.1753232834061444,711.4033292307344,36.93276380203801,56.38406772228598,13,excellent,very_fast,low,high,4.910529858650599e-06,198308.53859579173,temporal_only,single_component,2,Only temporal AMC contrastive loss
9,TS2vec,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.17671175479888915,864.7578668009588,0.8444901042978114,51875299251.60342,51.875299251603415,50,8.835587739944458,8.835587739944458,0.11021338123298649,0.01877193990297609,1.1531218602137547,5.510669061649325,5.8711769695956315,605.3305067606711,49.894323970177666,54.10502850335079,13,excellent,very_fast,low,high,4.244802225515041e-06,229409.98149374189,temporal_only,single_component,3,Only temporal AMC contrastive loss
10,TimeHUT,Chinatown,TS2vec,UCR,2025-08-26 20:42:30,0.9738,0.92511,0.87642,success,0.1706959581375122,1010.7518660370254,0.9870623691767826,54152804363.68198,54.15280436368197,50,8.53479790687561,8.53479790687561,0.1140976049609223,0.017982448211917294,0.9865637982047238,5.704880248046115,6.344942780666971,707.5263062259177,27.639530934994507,64.82037199599763,12,excellent,very_fast,low,high,4.792534950346345e-06,203191.00644839864,both_amc,two_component,1,Both AMC losses (no temperature)
